,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
0,1686285000000,26430.64000000,26507.11000000,26424.35000000,26491.38000000,386.76318000,1686286799999,10238138.71425410,9871,209.94532000,5556746.22835820,0
1,1686286800000,26491.38000000,26533.30000000,26480.23000000,26488.79000000,401.39231000,1686288599999,10638225.70715390,9809,198.17606000,5251996.27242900,0
2,1686288600000,26488.79000000,26505.30000000,26475.51000000,26504.54000000,282.35701000,1686290399999,7478471.42833630,8323,141.20859000,3740107.20128110,0
3,1686290400000,26504.54000000,26576.55000000,26475.24000000,26546.22000000,641.47043000,1686292199999,17010235.64796200,15390,308.02722000,8168097.53208630,0
4,1686292200000,26546.22000000,26563.52000000,26483.31000000,26492.93000000,409.86713000,1686293999999,10870436.19921130,14745,177.67705000,4712397.81832350,0
5,1686294000000,26492.92000000,26500.00000000,26444.57000000,26471.16000000,398.12385000,1686295799999,10541827.30915920,12110,165.86921000,4392027.27317770,0
6,1686295800000,26471.16000000,26493.44000000,26440.38000000,26493.43000000,605.44501000,1686297599999,16027447.85149190,13996,305.53932000,8088169.21509150,0
7,1686297600000,26493.44000000,26604.67000000,26491.66000000,26595.19000000,938.18378000,1686299399999,24911387.74119000,19798,431.78711000,11463982.87832640,0
8,1686299400000,26595.19000000,26650.00000000,26565.92000000,26642.37000000,718.84740000,1686301199999,19123354.57809570,17757,292.80025000,7789588.15617810,0
9,1686301200000,26642.38000000,26647.32000000,26591.00000000,26594.66000000,548.46563000,1686302999999,14598676.45840940,12695,177.09804000,4714118.90400760,0
10,1686303000000,26594.65000000,26685.43000000,26594.65000000,26639.03000000,723.82447000,1686304799999,19279814.48781110,16727,356.68292000,9500117.01281610,0
11,1686304800000,26639.03000000,26666.81000000,26611.89000000,26614.65000000,460.69874000,1686306599999,12272977.00282420,14306,208.02639000,5541862.02112610,0
12,1686306600000,26614.66000000,26675.82000000,26602.51000000,26635.40000000,528.22803000,1686308399999,14072882.47770270,13742,272.00491000,7245779.00371000,0
13,1686308400000,26635.39000000,26635.40000000,26584.64000000,26588.40000000,460.01059000,1686310199999,12241235.32560860,13657,183.19693000,4875344.71889240,0
14,1686310200000,26588.41000000,26644.96000000,26560.00000000,26610.19000000,508.92350000,1686311999999,13538165.78549110,14804,242.77410000,6458446.94445050,0
15,1686312000000,26610.18000000,26667.12000000,26610.18000000,26636.21000000,499.85057000,1686313799999,13316543.63542910,14494,233.04785000,6208708.93726190,0
16,1686313800000,26636.20000000,26699.99000000,26621.83000000,26673.76000000,686.23123000,1686315599999,18291612.08683170,19850,384.72668000,10254955.47374490,0
17,1686315600000,26673.75000000,26783.33000000,26657.14000000,26685.03000000,1426.36363000,1686317399999,38096307.94534160,29263,589.87009000,15756892.97895520,0
18,1686317400000,26685.03000000,26713.25000000,26627.21000000,26634.65000000,925.45031000,1686319199999,24668548.36665130,24396,458.13596000,12211341.94576030,0
19,1686319200000,26634.64000000,26712.52000000,26600.65000000,26686.21000000,744.47657000,1686320999999,19847492.92672780,21787,355.55183000,9478608.54420620,0
20,1686321000000,26686.22000000,26689.68000000,26536.96000000,26594.64000000,1048.68599000,1686322799999,27885242.77799380,28376,477.50947000,12694481.52363790,0
21,1686322800000,26594.63000000,26633.76000000,26577.02000000,26587.29000000,682.90067000,1686324599999,18168362.86304680,18178,296.00374000,7874947.26387680,0
22,1686324600000,26587.29000000,26606.29000000,26452.86000000,26477.37000000,1191.66163000,1686326399999,31615828.47257980,26335,521.19279000,13826742.68167830,0
23,1686326400000,26477.36000000,26529.54000000,26442.98000000,26497.81000000,803.77629000,1686328199999,21288673.67013760,21202,344.91908000,9134329.83460230,0
24,1686328200000,26497.81000000,26516.72000000,26447.24000000,26482.84000000,453.32979000,1686329999999,12003632.42713160,13542,191.89046000,5080888.51824830,0
25,1686330000000,26482.83000000,26511.45000000,26417.92000000,26484.03000000,660.59545000,1686331799999,17482235.70664290,17464,347.40651000,9194398.60530290,0
26,1686331800000,26484.03000000,26515.00000000,26472.78000000,26496.06000000,444.63413000,1686333599999,11780285.90494040,13872,212.52652000,5630664.17882700,0
27,1686333600000,26496.05000000,26516.71000000,26450.00000000,26461.88000000,360.19607000,1686335399999,9537585.06880530,11105,159.71877000,4229346.83038840,0
28,1686335400000,26461.88000000,26471.97000000,26412.44000000,26450.00000000,556.96382000,1686337199999,14727670.13056630,16084,274.02169000,7245769.03299010,0
29,1686337200000,26450.00000000,26490.00000000,26383.05000000,26417.62000000,680.80800000,1686338999999,17993945.81053200,21264,319.21022000,8435907.21007240,0
30,1686339000000,26417.63000000,26446.38000000,26384.61000000,26407.15000000,485.09836000,1686340799999,12814156.03491100,15975,222.91871000,5888118.35877620,0
31,1686340800000,26407.15000000,26468.10000000,26397.11000000,26462.46000000,498.03924000,1686342599999,13165317.77713220,14830,240.46883000,6356234.90455680,0
32,1686342600000,26462.45000000,26470.00000000,26440.00000000,26451.16000000,371.21557000,1686344399999,9819671.38434150,10396,165.10726000,4367318.59051470,0
33,1686344400000,26451.16000000,26465.65000000,26449.76000000,26449.76000000,190.19568000,1686346199999,5031835.36060630,9119,73.35779000,1940752.91965930,0
34,1686346200000,26449.76000000,26499.50000000,26445.75000000,26479.52000000,344.16832000,1686347999999,9111814.04559920,10202,174.10275000,4608369.30490670,0
35,1686348000000,26479.51000000,26500.00000000,26466.10000000,26469.10000000,268.78070000,1686349799999,7118856.96210150,9826,102.10480000,2704069.60500590,0
36,1686349800000,26469.10000000,26493.29000000,26458.07000000,26492.69000000,204.04604000,1686351599999,5401511.90088280,7285,97.88696000,2591404.73959960,0
37,1686351600000,26492.69000000,26498.17000000,26454.55000000,26467.08000000,280.24685000,1686353399999,7419878.68362830,8581,86.68243000,2295028.33620980,0
38,1686353400000,26467.09000000,26485.39000000,26449.78000000,26477.81000000,301.36032000,1686355199999,7975345.89246750,8547,123.21084000,3260896.32550060,0
